Site;Commodity;Type_urbs;Type_evrys;price;max;maxperhour;annual;losses
CL00;CO2;Env;ENV;12,0;inf;inf;inf;0
CL00;Coal;Stock;SUP-Stock;10,5365161;inf;inf;inf;0
CL00;Elec;Demand;DEM;;;;5874069,156900557;0
CL00;Gas;Stock;SUP-Stock;24,80815129;inf;inf;inf;0
CL00;Geothermal;Stock;SUP-Stock;0,0;inf;inf;inf;0
CL00;Lignite;Stock;SUP-Stock;7,0;inf;inf;inf;0
CL00;Oil;Stock;SUP-Stock;40,25785851;inf;inf;inf;0
CL00;Solar;SupIm;SUP-Intermittent;0,0;inf;inf;1,0;0
CL00;Uranium;Stock;SUP-Stock;2,33;inf;inf;inf;0
CL00;WindOn;SupIm;SUP-Intermittent;0,0;inf;inf;1,0;0
CL00;Bioenergy;Stock;SUP-Stock;23,0;inf;inf;inf;0
CL00;Hydro;SupIm;SUP-Intermittent;0,0;inf;inf;;0
CL01;CO2;Env;ENV;12,0;inf;inf;inf;0
CL01;Coal;Stock;SUP-Stock;10,5365161;inf;inf;inf;0
CL01;Elec;Demand;DEM;;;;4165528,4459847305;0
CL01;Gas;Stock;SUP-Stock;24,80815129;inf;inf;inf;0
CL01;Geothermal;Stock;SUP-Stock;0,0;inf;inf;inf;0
CL01;Lignite;Stock;SUP-Stock;7,0;inf;inf;inf;0
CL01;Oil;Stock;SUP-Stock;40,25785851;inf;inf;inf;0
CL01;Solar;SupIm;SUP-Intermittent;0,0;inf;inf;1,0;0
CL01;Uranium;Stock;SUP-Stock;2,33;inf;inf;inf;0
CL01;WindOn;SupIm;SUP-Intermittent;0,0;inf;inf;1,0;0
CL01;Bioenergy;Stock;SUP-Stock;23,0;inf;inf;inf;0
CL01;Hydro;SupIm;SUP-Intermittent;0,0;inf;inf;;0
CL02;CO2;Env;ENV;12,0;inf;inf;inf;0
CL02;Coal;Stock;SUP-Stock;10,5365161;inf;inf;inf;0
CL02;Elec;Demand;DEM;;;;9810849,312311728;0
CL02;Gas;Stock;SUP-Stock;24,80815129;inf;inf;inf;0
CL02;Geothermal;Stock;SUP-Stock;0,0;inf;inf;inf;0
CL02;Lignite;Stock;SUP-Stock;7,0;inf;inf;inf;0
CL02;Oil;Stock;SUP-Stock;40,25785851;inf;inf;inf;0
CL02;Solar;SupIm;SUP-Intermittent;0,0;inf;inf;1,0;0
CL02;Uranium;Stock;SUP-Stock;2,33;inf;inf;inf;0
CL02;WindOn;SupIm;SUP-Intermittent;0,0;inf;inf;1,0;0
CL02;Bioenergy;Stock;SUP-Stock;23,0;inf;inf;inf;0
CL02;Hydro;SupIm;SUP-Intermittent;0,0;inf;inf;;0
CL03;CO2;Env;ENV;12,0;inf;inf;inf;0
CL03;Coal;Stock;SUP-Stock;10,5365161;inf;inf;inf;0
CL03;Elec;Demand;DEM;;;;12684559,34447524;0
CL03;Gas;Stock;SUP-Stock;24,80815129;inf;inf;inf;0
CL03;Geothermal;Stock;SUP-Stock;0,0;inf;inf;inf;0
CL03;Lignite;Stock;SUP-Stock;7,0;inf;inf;inf;0
CL03;Oil;Stock;SUP-Stock;40,25785851;inf;inf;inf;0
CL03;Solar;SupIm;SUP-Intermittent;0,0;inf;inf;1,0;0
CL03;Uranium;Stock;SUP-Stock;2,33;inf;inf;inf;0
CL03;WindOn;SupIm;SUP-Intermittent;0,0;inf;inf;1,0;0
CL03;Bioenergy;Stock;SUP-Stock;23,0;inf;inf;inf;0
CL03;Hydro;SupIm;SUP-Intermittent;0,0;inf;inf;;0
CL04;CO2;Env;ENV;12,0;inf;inf;inf;0
CL04;Coal;Stock;SUP-Stock;10,5365161;inf;inf;inf;0
CL04;Elec;Demand;DEM;;;;3646840,5135764163;0
CL04;Gas;Stock;SUP-Stock;24,80815129;inf;inf;inf;0
CL04;Geothermal;Stock;SUP-Stock;0,0;inf;inf;inf;0
CL04;Lignite;Stock;SUP-Stock;7,0;inf;inf;inf;0
CL04;Oil;Stock;SUP-Stock;40,25785851;inf;inf;inf;0
CL04;Solar;SupIm;SUP-Intermittent;0,0;inf;inf;1,0;0
CL04;Uranium;Stock;SUP-Stock;2,33;inf;inf;inf;0
CL04;WindOn;SupIm;SUP-Intermittent;0,0;inf;inf;1,0;0
CL04;Bioenergy;Stock;SUP-Stock;23,0;inf;inf;inf;0
CL04;Hydro;SupIm;SUP-Intermittent;0,0;inf;inf;;0
CL05;CO2;Env;ENV;12,0;inf;inf;inf;0
CL05;Coal;Stock;SUP-Stock;10,5365161;inf;inf;inf;0
CL05;Elec;Demand;DEM;;;;9959847,254489219;0
CL05;Gas;Stock;SUP-Stock;24,80815129;inf;inf;inf;0
CL05;Geothermal;Stock;SUP-Stock;0,0;inf;inf;inf;0
CL05;Lignite;Stock;SUP-Stock;7,0;inf;inf;inf;0
CL05;Oil;Stock;SUP-Stock;40,25785851;inf;inf;inf;0
CL05;Solar;SupIm;SUP-Intermittent;0,0;inf;inf;1,0;0
CL05;Uranium;Stock;SUP-Stock;2,33;inf;inf;inf;0
CL05;WindOn;SupIm;SUP-Intermittent;0,0;inf;inf;1,0;0
CL05;Bioenergy;Stock;SUP-Stock;23,0;inf;inf;inf;0
CL05;Hydro;SupIm;SUP-Intermittent;0,0;inf;inf;;0
CL06;CO2;Env;ENV;12,0;inf;inf;inf;0
CL06;Coal;Stock;SUP-Stock;10,5365161;inf;inf;inf;0
CL06;Elec;Demand;DEM;;;;19247228,05672787;0
CL06;Gas;Stock;SUP-Stock;24,80815129;inf;inf;inf;0
CL06;Geothermal;Stock;SUP-Stock;0,0;inf;inf;inf;0
CL06;Lignite;Stock;SUP-Stock;7,0;inf;inf;inf;0
CL06;Oil;Stock;SUP-Stock;40,25785851;inf;inf;inf;0
CL06;Solar;SupIm;SUP-Intermittent;0,0;inf;inf;1,0;0
CL06;Uranium;Stock;SUP-Stock;2,33;inf;inf;inf;0
CL06;WindOn;SupIm;SUP-Intermittent;0,0;inf;inf;1,0;0
CL06;Bioenergy;Stock;SUP-Stock;23,0;inf;inf;inf;0
CL06;Hydro;SupIm;SUP-Intermittent;0,0;inf;inf;;0
